,Totale ore,,"37,75",1 = alta,Ore acquistate =,60,Fatt. 187.2022
Tipo,Cosa,Ore,Stato,Priorità,Data consegna,Chi,Note
New,"Link dealer area e test, pulizia dati","0,5",fatto,,novembre-15-22,Giulio,
New,Aggiornamento wp e plugin,"0,25",fatto,,novembre-30-22,Alex,
New,Aggiornamento sezione e-brochure e flipping book,"0,5",fatto,,dicembre-22-22,Alex,
New,Fix problema flipping book non visibili su alcune schede,"0,25",fatto,,dicembre-23-22,Giulio,
New,Banner per salone dussendorf IT EN FR ES (EN),"0,75",fatto,,dicembre-23-22,Giulio,
New,Correzione link pagina brochure,"0,25",fatto,,gennaio-21-23,Giulio,
New,Rinnovo canone Elementor,2,fatto,,gennaio-26-22,Giulio,
New,Aggiornamento wp e plugin,"0,25",fatto,,gennaio-26-23,Alex,
New,check analytics,"0,25",fatto,,febbraio-02-23,Giulio,
New,"configurazione quantcast su domini lomac.it, check funzionamento","1,5",fatto,,marzo-16-23,Giulio,
New,aggiornamenti landing.lomac.it,1,fatto,,marzo-16-23,Giulio,
New,check quantcast,"0,25",fatto,,marzo-17-23,Giulio,
New,Aggiornamento wp e plugin,"0,5",fatto,,aprile-03-23,Alex,
New,Sezione video hull,6,fatto,,giugno-01-23,Alex,
New,CSV download contatti,1,fatto,,giugno-01-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,giugno-06-23,Alex,
New,Nuova sezione Hullsupremacy,16,fatto,,giugno-12-23,Alex,
New,Attivazione nuovi video,"0,25",fatto,,giugno-22-23,Giulio,
New,Correzione form hull supremacy,1,fatto,,giugno-22-23,Giulio,
New,Attivazione nuovi video,"0,25",fatto,,luglio-05-23,Alex,
New,Miglioramento sezione hullsupremacy + aggiunta a voce menù AZIENDA,"0,75",fatto,,luglio-13-23,Alex,
New,Attivazione nuovi video,"0,25",fatto,,luglio-24-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,luglio-28-23,Alex,
New,Aggiunti nuovi modelli Granturismo 14.0X e Turismo 9.5,"1,75",fatto,,agosto-04-23,Alex,
New,Aggiunto banner salone nautico Cannes e Genova 2023,"0,5",fatto,,agosto-04-23,Alex,
New,Aggiunto configuratore Turismo 9.5,"0,25",fatto,,agosto-04-23,Alex,
New,Aggiornato cataloghi Granturismo e Turismo,"0,5",fatto,,agosto-23-23,Alex,
New,Aggiornamento slider e mosaico Granturismo 14.0X e Turismo 9.5,0,fatto,,settembre-07-23,Alex,