,Totale ore,,"5,75",1 = alta,Ore acquistate =,8,Fatt.  69.2022
Tipo,Cosa,Ore,Stato,Priorità,Data consegna,Chi,Note
New,Aggiornamento wp e plugin,"0,25",fatto,,maggio-10-22,Alex,
New,meccanismo per rimuovere selettivamente adv e rimozione adv da un articolo,"0,25",fatto,,giugno-08-22,Giulio,
New,Aggiornamento wp e plugin,"0,25",fatto,,luglio-08-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,settembre-02-22,Alex,
New,Aggiornamento permessi x wp ftp,"0,25",fatto,,settembre-15-22,Giulio,
New,"Aggiornamento plugin, correzione SEO in yoast, verifica search console per breadcrumbs","1,5",fatto,,settembre-15-22,Giulio,
New,Aggiornamento wp e plugin,"0,25",fatto,,novembre-30-22,Alex,
New,Aggiornamento ads.txt ,"0,5",fatto,,gennaio-04-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,gennaio-26-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,aprile-03-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,giugno-06-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,luglio-28-23,Alex,
New,Aggiornamento cmp,"0,5",fatto,,agosto-21-23,Giulio,